Title,Composer,Style/Genre,Sub-Genre/Tradition,Musical Period / Era,Type of Piece,Key Signature (common),Time Signature,Difficulty (Violin),Ensemble Type,Country / Region of Origin,Primary Use Case,Session Friendliness (if folk),Primary Tags,Secondary Tags,Notes
(On the) Sunny Side of the Street,Jimmy McHugh,Jazz,Swing,20th century (c. 1900–2000),Song / standard,C major,4/4,Intermediate,Solo violin + backing / band,USA,Jazz performance / study,N/A,Jazz › Swing standard; mood: upbeat; groove: medium swing,Good for learning swing phrasing and jazz articulation; classic AABA 32-bar form,Commonly played in C for instruments; your arrangement key may differ.
1ere. Gymnopédie,Erik Satie (1866--1925),Classical,French impressionist / salon,Late Romantic (c. 1850–1920),Character piece,D major,3/4,Intermediate,Solo violin (adapted) or violin + piano,France,Recital / expressive playing,N/A,"Classical › Impressionist miniatures; mood: calm, introspective","Focus on sustained tone, vibrato control, and rubato; slow, meditative feel",Originally for piano; violin adapts melody line.
Adagio in G minor,Remo Giazotto (1910–1998),Classical,Baroque pastiche,20th century (c. 1900–2000),Adagio / lyrical movement,G minor,4/4,Intermediate–Advanced,Violin + piano / strings,Italy,"Recital, weddings, church",N/A,"Classical › Baroque-style Adagio; mood: solemn, dramatic","Good for expressive phrasing, long bows, and dynamic shaping",Often attributed to Albinoni; Giazotto reconstruction.
As Time Goes By,Herman Hupfeld,Jazz,Ballad,20th century (c. 1900–2000),Song / standard,F major,4/4,Intermediate,Solo violin + backing / band,USA,Jazz performance / ballad feature,N/A,"Jazz › Great American Songbook; mood: nostalgic, romantic","Legato phrasing, rubato ballad feel; good for slides and expressive vibrato",From the film *Casablanca*.
Ashokan Farewell,Jay Ungar,Fiddle tune / film theme,Old-time waltz,Contemporary (c. 1975–present),Waltz / air,D major,3/4,Early Intermediate,Solo violin / fiddle + guitar or piano,USA,"Weddings, slow sets, expressive practice",Very common,"Folk › American › Old-time waltz; mood: plaintive, nostalgic",Uses 1st–3rd position; great for vibrato and phrasing practice,Theme from Ken Burns’ *The Civil War*; commonly in D.
Auld Lang Syne,Traditional Scottish,Folk,Scottish song,Traditional (pre-modern),Song / air,G major,4/4 (often 3/4 too),Beginner–Intermediate,Solo violin / session tune,Scotland,"New Year, community singing",Very common,"Folk › Scottish song; mood: nostalgic, communal","Simple melody, good for beginners; ornamentation optional",Key varies by setting; G is fiddle-friendly.
Badinerie,Johann Sebastian Bach (1685–1750),Classical,Baroque,Baroque (c. 1600–1750),Orchestral suite movement / flute solo,B minor,2/4,Advanced–Professional,Solo violin adapted from flute,Germany,Virtuoso recital / audition excerpt,N/A,"Classical › Baroque › Virtuoso showpiece; mood: lively, brilliant","High-speed passagework, string crossings, articulation practice",Originally for flute and strings.
Basso - Gypsy in Am,Traditional Hungarian,Folk / Gypsy,Hungarian / Roma,Traditional (pre-modern),Dance tune / étude-like,A minor,4/4,Intermediate–Advanced,Solo violin / fiddle + rhythm,Hungary,"Gypsy-style practice, performance",Less common,"Folk › Hungarian / Roma; mood: fiery, passionate","Gypsy slides, ornaments, fast runs; rest-stroke-style bowing possible",Key often A minor for fiddle; can vary.
Bear Dance,Traditional,Folk,Eastern European / children’s,Traditional (pre-modern),Dance tune,D minor,2/4,Early Intermediate,Solo violin,Central/Eastern Europe (often attributed),"Teaching, children’s concerts",Occasionally,"Folk › Children’s / character dance; mood: playful, rustic","Good for short strokes, accents, character playing",Key may vary in different collections.
Bella Ciao,Traditional Italian,Folk song / protest song,Italian partisan song,20th century (c. 1900–2000),Song / march-like,A minor,4/4,Beginner–Intermediate,Solo violin / sing-along,Italy,"Sing-along, political / social events",Common in folk circles,"Folk › Italian › Protest song; mood: defiant, energetic","Simple melody, easy to harmonize; repetitive phrase structure",Often in Am or Em depending on arrangement.
Bella ciao,Arrangements:Marc Mouries,Folk,Italian partisan song (arranged),Contemporary (c. 1975–present),Arrangement / study,A minor,4/4,Intermediate,Solo violin,Italy / arranger: France/USA,"Practice, performance, arrangement study",Common in folk circles,Folk › Italian protest song (arrangement); mood: energetic,"Can include position work, doublestops, variations depending on your version",Uses your specific bowings/ornaments; adjust tags if your key differs.
